0.0730309839,0.4476588348
-0.3985142796,0.4352773154
-0.6510478117,-0.9263183531
-0.4631502430,-0.5590997265
-0.1787329097,-0.6879560009
-0.1885296815,-0.4555230643
-0.0677285161,-0.4330616587
0.0164890625,-0.2933266145
0.1054488360,-0.1233585440
0.1649815715,0.1232023702
0.0864419241,0.4322165695
-0.3614330482,0.4637153966
-0.6885199321,-0.8262125368
-0.3314337996,-0.6524185331
-0.2217927345,-0.5566097590
-0.1255464197,-0.4749863475
-0.0372326138,-0.3693203425
0.0535517217,-0.2316238755
0.1366901530,-0.0335162091
0.1607352959,0.2474595300
-0.0395360328,0.5247513184
-0.6249162455,0.1418104230
-0.2772851105,-1.3561665536
-1.1963943395,-0.4805639125
0.4126259166,-1.4831827459
-0.7663698007,-1.1403388198
-0.7170970408,-0.3550665432
-0.0437299085,-1.1024930183
-0.5900064162,-0.5422824885
-0.1508940404,-0.8112537815
-0.2833614241,-0.4625882498
-0.1105651593,-0.5358576426
-0.0522162015,-0.3705647686
0.0412342979,-0.2510158181
0.1267380060,-0.0637402352
0.1643909134,0.2054492737
0.0092301421,0.4990544511
-0.5407444632,0.2772001968
-0.4377858698,-1.2426777713
-0.9993767144,-0.4088570873
0.1779964231,-1.3859774674
-0.8956657816,-0.8303939509
-0.1941202421,-0.7190176445
-0.2216666130,-0.4685975480
-0.0881798208,-0.4698871374
-0.0098369441,-0.3284340831
0.0808619830,-0.1774293543
0.1545215400,0.0443147101
0.1343360636,0.3448955895
-0.1873900504,0.5337837538
-0.7394252813,-0.3079397529
-0.0283957246,-1.1774235622
-0.7030912917,-0.5786356399
-0.1253303915,-0.8818330444
-0.3444729540,-0.4705363438
-0.1298349899,-0.6000399912
-0.0992383107,-0.4038776030
0.0002682472,-0.3202551607
0.0902475546,-0.1597629011
0.1599086681,0.0717772364
0.1211769595,0.3786615590
-0.2473306525,0.5234548114
-0.7501834532,-0.4918667395
-0.0585633134,-1.0083196979
-0.4596832991,-0.5031853908
-0.1530363957,-0.7083474526
-0.1901394081,-0.4434406356
-0.0649712159,-0.4333680541
0.0185235052,-0.2903135600
0.1072978554,-0.1188650191
0.1654255429,0.1296552780
0.0814763890,0.4385753143
-0.3760964907,0.4537075011
-0.6757030882,-0.8666148289
-0.3814838810,-0.6135649586
-0.2053308902,-0.6016199580
-0.1428295198,-0.4644094363
-0.0445730266,-0.3852010042
0.0451125809,-0.2474074061
0.1301921165,-0.0558009144
0.1645622398,0.2179540975
-0.0033730408,0.5098355574
-0.5695207755,0.2447323049
-0.3952662202,-1.2954356627
-1.0987123055,-0.4141663559
0.2958321148,-1.4944084454
-0.9809032601,-1.0397280147
-0.3764876177,-0.4419253291
-0.1266642258,-0.6411790712
-0.1235236029,-0.4114890859
-0.0178080426,-0.3511345199
0.0721316238,-0.1986773082
0.1501134252,0.0162627598
0.1475928483,0.3132407474
-0.1318542149,0.5442702584
-0.7247830800,-0.1351019558
-0.0640099914,-1.3212779147
-1.0048026309,-0.6195089642
0.0940253427,-1.0743912697
-0.4148215564,-0.5511849641
-0.1736398228,-0.6479487855
-0.1563510764,-0.4462346138
-0.0470747669,-0.3962809353
0.0410938902,-0.2549803362
0.1269779133,-0.0662586556
0.1658546326,0.2039997271
0.0124960039,0.5013777282
-0.5414555007,0.2882113080
-0.4505031090,-1.2509125436
-1.0151082262,-0.3993825098
0.1974896213,-1.4190747651
-0.9437407229,-0.8750632158
